danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,uri,title,artist,mood
0.601,0.274,-13.141,0.0634,0.921,0.913,0.605,180.247,spotify:track:75NF20zhwzBw4hzlTdXCiQ,go to gate,archipelago beats,happy
0.646,0.813,-5.29,0.0288,0.00178,2.26E-05,0.821,112.115,spotify:track:7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,Arctic Monkeys,happy
0.683,0.659,-9.424,0.0412,0.164,0,0.919,109.952,spotify:track:1wwmkKWOk330VnN9IroMOI,Think,Aretha Franklin,happy
0.814,0.313,-13.831,0.0745,0.132,0.217,0.32,95.035,spotify:track:1UBz80xTEt0P3mSGmbwIlo,"Salzburg, Vienna, Bratislava",Arkadi Martinë,happy
0.741,0.711,-9.359,0.126,0.439,0,0.801,74.989,spotify:track:1hmV2cFt3tJfvOc9zwzytY,Homesick,Arya,happy
0.796,0.376,-11.123,0.365,0.889,0.643,0.81,152.151,spotify:track:5Ej2qyQ2RnBVsdFDB5Uxo3,Cadillac,asanatobi,happy
0.87,0.489,-6.642,0.148,0.689,0.899,0.507,78.008,spotify:track:2OtSn8KFe1yhbOZhFAv4t9,Park Swing,Astairé,happy
0.777,0.582,-6.435,0.0357,0.134,0.000752,0.925,138.98,spotify:track:1fAE0TQ3xblvOgnmM7yL1s,Head In The Clouds,BabyJake,happy
0.662,0.837,-5.015,0.0582,0.0623,0,0.613,136.998,spotify:track:41d2Q6DHcM20OdzynkRtvf,Daft Pretty Boys,Bad Suns,happy
0.736,0.676,-7.28,0.0408,0.0808,0.149,0.935,125.046,spotify:track:1iF2TYT5ScZ2BStvrrxyrE,Sister Of Pearl,Baio,happy
0.802,0.706,-9.473,0.0878,0.326,0.904,0.744,89.99,spotify:track:5GGVLyvFwH5iTjtGNxUjDY,Lo-Fi Carnival,Banco Swiss,happy
0.52,0.903,-5.497,0.042,0.00517,0,0.652,74.988,spotify:track:2f0pn9DkEJwAzXApnFh5cr,Someone To You,BANNERS,happy
0.889,0.26,-17.475,0.0921,0.9,0.874,0.828,122.999,spotify:track:2w9EnlbbEahdgm3ZNj758B,Aubade,Bastido,happy
0.629,0.409,-9.009,0.0671,0.0769,0.854,0.802,80.152,spotify:track:7q6aQazraLUiuCUVkoYOb2,Momentum,Bat Bilger,happy
0.607,0.851,-7.754,0.0364,0.623,0.351,0.479,168.049,spotify:track:4YMc3A256xFBS0xcT77Qce,help herself,bbno$,happy
0.709,0.328,-11.118,0.0491,0.897,0.926,0.319,90.004,spotify:track:4CAv2SgblWL9g2bf7Xft0W,Late Night Cruisin',Bcalm,happy
0.528,0.797,-7.487,0.0485,0.000391,0.011,0.751,143.785,spotify:track:6MpCaSIOfqBqbMED4kXgNY,Prom Queen,Beach Bunny,happy
0.231,0.877,-5.278,0.0574,0.000653,0.026,0.524,186.142,spotify:track:77G0k1La0c5Dw8bAFANcyp,Sports,Beach Bunny,happy
0.639,0.87,-8.324,0.0284,0.000673,0.307,0.96,128.035,spotify:track:21lFRFkdf5sgITNZCDMeDq,Don't Fade Away,Beach Fossils,happy
0.725,0.434,-8.768,0.192,0.0911,0.789,0.957,179.936,spotify:track:2cXdC5qNqc5Gk0X6JtjUqH,Chips,Beat Oven,happy
0.754,0.422,-12.66,0.294,0.0463,0.215,0.517,160.227,spotify:track:7uJKZCjiHRAde6xQm2Kx0Q,Royal Highness,Beat Oven,happy
0.66,0.483,-11.66,0.0343,0.441,0.856,0.197,80.044,spotify:track:7Bw4rl2uucA5QvPeGYzuXe,Endless Lights,Beats by LOR,happy
0.675,0.899,-6.124,0.0418,0.0696,0.000139,0.91,103.683,spotify:track:3LmpQiFNgFCnvAnhhvKUyI,Stayin' Alive - Remastered Version,Bee Gees,happy
0.738,0.46,-14.875,0.0459,0.3,0.858,0.39,147.875,spotify:track:5RLcwTY0YKoYsobS6n5EG9,Malibu Dreams,Ben Jammin' Beats,happy
0.863,0.631,-4.689,0.0534,0.305,3.04E-05,0.817,128.977,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,happy
0.671,0.323,-10.097,0.0272,0.318,0.885,0.215,88.025,spotify:track:1bqbXMB4sjKR5QEkZRAm2h,Boom Bap a Lula,Better Call Soul,happy
0.745,0.729,-5.573,0.221,0.0558,0,0.629,115.028,spotify:track:3IHaiorYWOcr8Kzs85PWF7,CUFF IT,Beyoncé,happy
0.806,0.657,-11.574,0.158,0.267,0.000182,0.702,89.492,spotify:track:3vGmNTCxk0OnOWbzIVFHgK,Rock Around the Clock,Bill Haley,happy
0.696,0.943,-2.962,0.043,0.0736,0,0.832,129.002,spotify:track:3CSpzkoL1XgDBZ1q9aDCUV,Uptown Girl,Billy Joel,happy
0.736,0.813,-4.296,0.0853,0.0393,1.64E-06,0.933,118.968,spotify:track:2hrsRRydXNtspNSehQU8RD,Paint a Smile On Me - Radio Edit,Black Yaya,happy
0.578,0.892,-7.952,0.0441,0.000139,0.0111,0.892,150.253,spotify:track:2YxXuCdbUpil3P7tRjhW1t,Banquet,Bloc Party,happy
0.445,0.872,-6.294,0.0602,0.00402,0.00909,0.834,162.407,spotify:track:5Q7cE6wGHMehLFo2ppkk5D,One Way Or Another,Blondie,happy
0.818,0.688,-7.083,0.0379,0.00209,0.0541,0.971,122.983,spotify:track:2qONptRzQM0D3BGOgAsapI,The Bad Touch,Bloodhound Gang,happy
0.785,0.476,-6.634,0.0522,0.18,0.894,0.544,86.979,spotify:track:04zAxdQmKHREESSIcHRF3K,words > numbers,Blue Boatz,happy
0.547,0.82,-6.728,0.0805,0.261,0,0.933,118.208,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,Hooked On A Feeling,Blue Swede,happy
0.341,0.895,-6.66,0.076,0.147,0,0.677,174.987,spotify:track:4vnYwFOZCVl0bmerWyuzRw,Country House,Blur,happy
0.585,0.567,-6.56,0.0352,0.24,0.575,0.503,84.997,spotify:track:0OGA7zBgWPrd0FW6au6TVN,Dripht,BLVKSHP,happy
0.874,0.793,-7.979,0.0945,0.274,0.000219,0.791,102.938,spotify:track:3cc66vpbbkDNgtSnWgKked,"Could You Be Loved - 12"" Mix",Bob Marley & The Wailers,happy
0.683,0.719,-4.568,0.0299,0.533,1.84E-05,0.907,118.731,spotify:track:1ALSCAxmx0zSt27vzEtLkZ,It's Just Gotta Be That Way,Bobby Angelle,happy
0.681,0.163,-22.597,0.165,0.881,7.62E-05,0.771,69.283,spotify:track:5YbgcwHjQhdT1BYQ4rxWlD,Don't Worry Be Happy,Bobby McFerrin,happy
0.74,0.945,-5.666,0.0314,0.223,0.116,0.975,131.644,spotify:track:0SDcjtJXrI6jAtD6AkQ6SR,Gotta Go Home,Boney M.,happy
0.763,0.777,-6.932,0.0364,0.281,0.79,0.929,124.431,spotify:track:3WMbD1OyfKuwWDWMNbPQ4g,Daddy Cool,Boney M.,happy
0.604,0.197,-15.12,0.0469,0.934,0.935,0.243,89.889,spotify:track:5kh6cDKfut5E1J8mP8dX0Y,BEACH WAVES,Boshi,happy
0.602,0.601,-8.521,0.0411,0.037,0.0046,0.856,122.017,spotify:track:5EV4bGHxVN0kHpcAFvgnTt,"Dance, Baby!",boy pablo,happy
0.579,0.346,-10.477,0.0615,0.803,0.903,0.426,74.838,spotify:track:4PDx95A1EalEnhMRHS7mdL,Sunset Cruise,brass.beats,happy
0.652,0.742,-9.687,0.0501,0.41,0.052,0.736,106.096,spotify:track:1YvAIf8NVPTlEwInU6mOBk,Moi je joue,Brigitte Bardot,happy
0.45,0.794,-5.015,0.0538,0.388,0,0.362,143.861,spotify:track:0awZwmlC6pxH65KTZpadmX,Freakin' Out On the Interstate,Briston Maroney,happy
0.874,0.692,-5.28,0.0431,0.0412,7.24E-05,0.937,116.017,spotify:track:55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,happy
0.708,0.598,-8.365,0.0291,0.037,0,0.698,112.027,spotify:track:2sXf2JdbB2GlNju00kw9WE,Skate,Bruno Mars,happy
0.508,0.725,-10.795,0.0344,0.0157,1.26E-06,0.741,138.934,spotify:track:6cnd6UwOyvEPWUjuuDKMIP,Summer Of '69,Bryan Adams,happy
0.746,0.765,-4.41,0.0993,0.0112,0,0.737,114.044,spotify:track:4saklk6nie3yiGePpBwUoc,Dynamite,BTS,happy
0.551,0.439,-14.07,0.037,0.412,0.915,0.62,80.055,spotify:track:2tZVe3idd7qbKHjUeUYbG2,Padron Peppers,Burrito Eats,happy
0.651,0.625,-10.125,0.0437,0.867,0.949,0.357,159.978,spotify:track:10yzr6JwWrvxVuJnFKSe6B,Ferrochrome,C-90,happy
0.58,0.981,-2.603,0.06,0.0171,1.07E-05,0.861,134.007,spotify:track:5XMjXjwCkJVmk0AHm7z8IV,Jerk It Out,Caesars,happy
0.636,0.676,-3.442,0.0263,0.0807,0,0.273,113.98,spotify:track:2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,happy
0.668,0.913,-3.097,0.0348,0.0119,6.70E-06,0.933,132.039,spotify:track:1KuVdyg8d6NlRhbpHxg5UF,Social Cues,Cage The Elephant,happy
0.785,0.516,-12.272,0.0621,0.187,0.237,0.637,94.008,spotify:track:0XRC16k0Q6Jhc2DVgcUSKD,Diário de Gratidão,Caio Gilberto,happy
0.893,0.745,-3.105,0.0571,0.0642,0,0.872,101.018,spotify:track:5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,happy
0.658,0.449,-14.113,0.0507,0.0522,0.87,0.628,82.034,spotify:track:5v4j4LiqW49SnYAwnJugw5,!Sunshine!,Camden Clown,happy
0.713,0.607,-4.388,0.0582,0.218,2.34E-05,0.202,91.005,spotify:track:0lqtePau02eM0xmOUIZ3uE,A.S.S. (always sunny somewhere),Camo Columbo,happy
0.748,0.405,-11.914,0.0785,0.676,0.935,0.661,84.993,spotify:track:5fwUgcNVOqWaAiO7q0m5S4,Mallorca,Carabide,happy
0.594,0.705,-6.415,0.0396,0.576,0,0.372,102.062,spotify:track:0Vamcab1ClWW7u8rAiwT5d,For Once In My Life,caravan,happy
0.449,0.842,-6.094,0.0311,0.391,0.868,0.915,90.047,spotify:track:11cufrIGJ6pbcVqJ205Eqe,supermarket,carwash,happy
0.69,0.834,-5.79,0.0566,0.129,0,0.738,127.43,spotify:track:4ycLiPVzE5KamivXrAzGFG,Fuck You,CeeLo Green,happy
0.694,0.4,-5.946,0.0499,0.913,0.793,0.683,89.975,spotify:track:40gdXSYMmhTw2TvD8J1TdY,Sweet Taboo,Chapel Chill,happy
0.881,0.592,-4.898,0.0324,0.619,1.32E-05,0.719,101.058,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,happy
0.689,0.627,-5.692,0.308,0.105,0.000321,0.905,184.008,spotify:track:1jEBSDN5vYViJQr78W7jr2,Light Switch,Charlie Puth,happy
0.868,0.39,-12.23,0.186,0.835,0.769,0.564,92.016,spotify:track:3R5mE5KAgvUGUy7q7Rbmas,La Hacienda,Chill&Go,happy
0.667,0.268,-15.941,0.0587,0.877,0.864,0.468,183.868,spotify:track:73fwCt5oobtmrRsUgGESNk,Spraytan,Chillide,happy
0.667,0.652,-10.379,0.0476,0.513,0.815,0.514,149.995,spotify:track:6uA5tWVvj13MGLNxhHGxhr,The Chillest,Chilou,happy
0.634,0.744,-5.062,0.041,0.0698,0,0.967,162.4,spotify:track:2LL1UuRkaqDUjgjn7dBXbx,Lets Twist Again,Chubby Checker,happy
0.502,0.931,-4.686,0.174,0.697,3.92E-06,0.903,166.407,spotify:track:7KkzVlps826NezcpXPvEuV,Johnny B. Goode,Chuck Berry,happy
0.573,0.837,-10.224,0.0977,0.72,3.24E-05,0.929,157.138,spotify:track:2LcV5dZWN47XVCVZ1dFwfQ,You Never Can Tell - 1964 Single Version / Mono,Chuck Berry,happy
0.901,0.352,-9.311,0.0735,0.961,0.582,0.387,120.122,spotify:track:5TZjQUcJwhqlDfQ4BApbYy,bad habit,cingie,happy
0.799,0.586,-6.735,0.0377,0.162,2.03E-06,0.549,120.97,spotify:track:61dCUoMCg28qEBzrW6htYM,Rather Be (feat. Jess Glynne),Clean Bandit,happy
0.759,0.582,-8.26,0.0901,0.575,0.6,0.539,88.396,spotify:track:7C1RaJ1b2WKJZq9Bvrgctj,Low Key,Cloudchord,happy
0.624,0.441,-13.761,0.0544,0.83,0.901,0.117,82.981,spotify:track:1lCFs0Id06HBlxjprXWR6J,Uncharted Waters,CMJ,happy
0.374,0.315,-11.068,0.377,0.759,0.019,0.481,165.711,spotify:track:05lQwU66a8f5YEfn86ODCF,Grand Ave,CMJ,happy
0.244,0.646,-5.863,0.0456,0.00178,0.00483,0.529,183.571,spotify:track:5SN3mwuodiwY3jPejBuUD5,Crash My Car,COIN,happy
0.588,0.701,-6.39,0.0402,0.00813,0,0.443,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,My Universe,Coldplay,happy
0.486,0.617,-7.115,0.0287,0.0954,3.23E-06,0.417,138.015,spotify:track:1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,happy
0.638,0.924,-3.887,0.036,0.00205,0.000175,0.53,111.995,spotify:track:4MFCXniy7I8tj0GXtf3wgC,Adventure of a Lifetime,Coldplay,happy
0.749,0.557,-9.278,0.093,0.297,0.0199,0.948,82.011,spotify:track:0y5PxI9uiVuh8DtueOvr75,Samba For You,Copacabana Lab,happy
0.556,0.929,-3.659,0.037,0.0499,1.70E-06,0.842,137.996,spotify:track:1hy6Dic0L5SU1XqjhYY1TR,Accidentally In Love,Counting Crows,happy
0.738,0.558,-12.088,0.0423,0.000663,0.163,0.601,80.03,spotify:track:3Xl7gON72joBquu8YJG8z9,Sentimental Mood,Crate Diggers,happy
0.685,0.377,-12.374,0.348,0.542,0.788,0.597,84.136,spotify:track:0JczY880Kt9FviLxsimJd6,Lucy Dreamer,Crate Diggers,happy
0.699,0.641,-7.564,0.0289,0.13,0.000218,0.728,120.745,spotify:track:6pxWv6GV35VGmcPf5dh6CH,Proud Mary,Creedence Clearwater Revival,happy
0.665,0.351,-9.424,0.0276,0.516,0.819,0.451,87.057,spotify:track:0R3TWpoxAhT3HDXM7tpRzS,Ghostride,Crumb,happy
0.654,0.791,-6.243,0.048,0.0392,0,0.603,133.042,spotify:track:04MNyOQZDvLsW2gjAm9q2L,Love Natural,Crystal Fighters,happy
0.574,0.887,-6.172,0.0565,0.0607,2.41E-06,0.622,136.057,spotify:track:4fCHoHmwmX8LgAp6A1GULJ,LA Calling,Crystal Fighters,happy
0.174,0.742,-5.93,0.0485,0.00181,0.281,0.36,163.378,spotify:track:2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,happy
0.668,0.473,-15.402,0.0336,0.231,0,0.962,91.976,spotify:track:4NH4xiPQ7TqNGqj6pZV4ki,Karma Chameleon,Culture Club,happy
0.797,0.237,-10.057,0.471,0.916,0.92,0.405,144.885,spotify:track:7d5KOapwEiUVGxa9fGOD8a,leave the lights on,Cyan_95,happy
0.705,0.847,-2.588,0.0361,0.414,3.21E-06,0.743,120.527,spotify:track:7sMGwiS4vOMcz86ZY3vKYM,Girls Just Want to Have Fun,Cyndi Lauper,happy
0.786,0.233,-10.304,0.0475,0.724,0.926,0.229,79.956,spotify:track:569xsJRzYIWE6u8X9gAQRp,Reeds,d'Addario,happy
0.705,0.129,-20.591,0.129,0.941,0.964,0.618,129.991,spotify:track:7DteH9Q6xun1eJrOKZHADb,Summer Days,Daemon,happy
0.794,0.811,-8.966,0.038,0.0426,1.07E-06,0.862,116.047,spotify:track:2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,happy
0.674,0.84,-3.879,0.0746,0.0338,0.000441,0.875,150.011,spotify:track:5CPayysVhU2BlNXw2kG59L,Got My Mind Set On You,Damien Leith,happy
0.759,0.871,-7.034,0.0391,0.0687,0,0.871,120.43,spotify:track:0ZvLrvwzp0nBkfmtzL7XO1,Relight My Fire - Single Version,Dan Hartman,happy
0.936,0.414,-8.942,0.0791,0.0211,0.453,0.899,107.438,spotify:track:0FXJkC3XA6UOyvti331jQw,"Rudy, A Message To You",Dandy Livingstone,happy
0.749,0.484,-9.944,0.0484,0.13,0.137,0.939,167.084,spotify:track:7HX9f8AMBl0vQxAoAzLqhS,You Make My Dreams (Come True),Daryl Hall & John Oates,happy
0.711,0.399,-10.115,0.0989,0.618,0.854,0.708,78.053,spotify:track:5PSCnbrMwcLmal3eAIW0GB,Da Roberta,Dasunny,happy
0.464,0.895,-7.683,0.031,0.00227,0.00394,0.932,91.905,spotify:track:2Rkfv2emuT4A1QU6dJmf5V,Modern Love - Single Version; 2002 Digital Remaster,David Bowie,happy
0.561,0.965,-3.673,0.0343,0.00383,7.07E-06,0.304,128.04,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,happy
0.751,0.17,-11.817,0.0399,0.923,0.926,0.776,96.029,spotify:track:5IKNbO4WNxnw6JYqyov0zD,Skating the Lake,David North,happy
0.767,0.463,-13.49,0.152,0.14,0.85,0.916,85.015,spotify:track:53VTzwDAl6PD9T1hs4rFHH,Beijo Doce,Dawmata,happy
0.641,0.842,-7.27,0.0292,0.134,0.911,0.499,129.978,spotify:track:61OJxhoY3Ix50rYVKo8zRK,Can I Call You Tonight?,Dayglow,happy
0.683,0.817,-3.061,0.0332,0.0184,2.32E-05,0.964,140.019,spotify:track:7MzjD4Ayl07w0TRsYSqfCh,Then It All Goes Away,Dayglow,happy
0.846,0.167,-15.462,0.0515,0.826,0.782,0.335,90.008,spotify:track:7xMO3gsf52QohpGmPzBZgt,Lo-Fi Prism,Dazik69,happy
0.748,0.427,-11.74,0.102,0.372,0.95,0.616,175.991,spotify:track:4DAkqKqpLl7KaFwQxxeHA0,Amor na Praia,De la Plante,happy
0.689,0.617,-5.196,0.029,0.0918,2.08E-05,0.682,121.062,spotify:track:5ftdTvmQjjsL23t7jxADfI,Brazil,Declan McKenna,happy
0.57,0.804,-6.782,0.0701,0.0598,8.96E-05,0.624,87.533,spotify:track:51Lf3l6wx008NdBxCQnD6B,Ode to a Conversation Stuck in Your Throat,Del Water Gap,happy
0.766,0.772,-9.362,0.0353,0.403,0.0584,0.919,128.168,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,Depeche Mode,happy
0.738,0.416,-12.061,0.106,0.795,0.841,0.235,79.211,spotify:track:4p47HkL5KGCRoZ7TqDw9rp,Azur,DESH,happy
0.553,0.724,-6.486,0.0359,0.00585,4.72E-05,0.383,128.024,spotify:track:6zkVSIgcGnqromeMTYmXv4,Pretoria Girls,Desmond and the Tutus,happy
0.435,0.652,-8.495,0.0404,0.519,0,0.806,108.097,spotify:track:4jKojTEsrJtUU5rNp3gbGQ,Come On Eileen,Dexys Midnight Runners,happy
0.805,0.19,-12.977,0.136,0.876,0.955,0.502,135.137,spotify:track:7JlI1eHDw1XWFiMy3LKJ8b,Paint Drip,Dino P,happy
0.461,0.936,-6.824,0.104,0.416,0.000135,0.811,172.43,spotify:track:7w4Tbkbx081vRJa8ol56Qf,Walk Of Life,Dire Straits,happy
0.827,0.69,-6.998,0.0347,0.0679,0.573,0.617,140.972,spotify:track:6L8JVXMBLDZeyhBKr0lrj8,Gloom,Djo,happy
0.771,0.76,-5.459,0.0514,0.147,0,0.881,119,spotify:track:42ftjU4cTN5UTRksyqBKZJ,Cake By The Ocean,DNCE,happy
0.647,0.433,-15.193,0.047,0.631,0.892,0.451,170.005,spotify:track:6LodoJCkHdELJ4JHiDfMGz,Wanderlust,dogphase,happy
0.526,0.509,-10.893,0.0628,0.6,0,0.497,138.318,spotify:track:2QgWuCtBpNIpl5trmKCxRf,American Pie,Don McLean,happy
0.746,0.804,-6.824,0.0338,0.315,0.00669,0.89,100,spotify:track:3YC7FYhduZbYObLRCdhANa,Rose Pink Cadillac,DOPE LEMON,happy
0.726,0.607,-12.829,0.0878,0.783,0.903,0.814,169.951,spotify:track:68kgY2W1t6P0UcRcwZH0OP,Streetlife,Dot One,happy
0.454,0.82,-4.193,0.0567,0.132,0.000969,0.575,166.303,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,Dr. Dog,happy
0.713,0.161,-13.764,0.104,0.0425,0.886,0.941,180.09,spotify:track:3umoNiC2gyJ4oaGj7t74Zk,Soft Slap,Dream Web,happy
0.793,0.793,-4.521,0.083,0.0123,0,0.679,123.95,spotify:track:3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,happy
0.793,0.859,-3.774,0.0332,0.266,0.000356,0.964,129.912,spotify:track:1dKm4a7TOYFzzTQvU59C59,Mercy,Duffy,happy
0.707,0.506,-7.686,0.0624,0.415,0.916,0.894,193.982,spotify:track:6ueWeJJyq1rMkdNitaL7a6,Poetic Wax,Dusty Decks,happy
0.621,0.519,-7.797,0.069,0.471,0.747,0.635,96.028,spotify:track:0Pr5OKqzYKJZAJ5S8ARuCM,Move Your Hands,Dusty Decks,happy
0.747,0.571,-6.985,0.119,0.0264,0.888,0.71,89.96,spotify:track:4FTWqP9PgQ24kmVctCWREf,Dust till Dawn,Dusty Decks,happy
0.73,0.539,-9.111,0.146,0.687,0.27,0.223,87.022,spotify:track:3QZV9urYHQWhedIpNw5sYz,Honeydew,DYVN,happy
0.574,0.852,-1.248,0.0397,0.0529,0,0.501,123.038,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,Celestial,Ed Sheeran,happy
0.896,0.704,-12.148,0.0402,0.401,0.132,0.98,128.685,spotify:track:6W99yGcIH43jskdRA7idD3,Gimme Hope Jo'Anna,Eddy Grant,happy
0.568,0.824,-4.613,0.0299,0.403,0,0.753,108.625,spotify:track:5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Edison Lighthouse,happy
0.545,0.677,-6.12,0.032,0.00284,0.906,0.435,95.014,spotify:track:76EfqbJHiagsv41TNAf4Ko,im so happy,EKKSTACY,happy
0.388,0.338,-10.054,0.0329,0.652,3.73E-06,0.478,177.765,spotify:track:2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,happy
0.712,0.775,-6.089,0.0572,0.488,0,0.917,134.902,spotify:track:5WLhAmEGwePI2RD9ZECTw7,Pack Up,Eliza Doolittle,happy
0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.486,126.041,spotify:track:72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John,happy
0.504,0.904,-6.863,0.179,0.356,0.121,0.772,176.808,spotify:track:1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,Elton John,happy
0.73,0.858,-8.221,0.036,0.179,1.54E-06,0.765,131.445,spotify:track:0bV4WoGRzmYV6y7OojZvqr,Don't Go Breaking My Heart,Elton John,happy
0.635,0.672,-6.788,0.0637,0.314,5.03E-06,0.895,166.903,spotify:track:6pyex9B1kBoRIuabBAc4m8,Jailhouse Rock,Elvis Presley,happy
0.578,0.97,-5.762,0.0485,0.000135,0.202,0.689,114.99,spotify:track:0m7xvX7nhPZ9DOZipTUedd,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,happy
0.742,0.527,-6.892,0.0769,0.327,0,0.638,84.974,spotify:track:3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,happy
0.641,0.65,-3.98,0.033,0.459,0.909,0.766,84.038,spotify:track:1s6LKq5nOjmqY65VdrmUej,Dream On,Emapea,happy
0.636,0.881,-5.376,0.0758,0.134,0.00952,0.845,118.237,spotify:track:7BXToqZFtclAj6mshYWena,Jungle Drum,Emilíana Torrini,happy
0.871,0.701,-5.594,0.0458,0.257,7.52E-06,0.716,126.975,spotify:track:5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun,happy
0.692,0.659,-10.081,0.0673,0.0375,0.871,0.639,150.092,spotify:track:6czOmmPl8uI5uxQu3GEeLT,bossa high-level,endless beauty,happy
0.847,0.455,-7.513,0.0438,0.215,0.903,0.666,87.985,spotify:track:0Td7VHO3ojTr3VO8GJTqQh,No Problem Too Small,Ensidya,happy
0.457,0.421,-12.465,0.0693,0.694,0.715,0.459,94.07,spotify:track:3YzOBxLQQVvqKH8xR0XgNh,One Day at a Time,Ensidya,happy
0.607,0.42,-7.843,0.0432,0.441,0.888,0.176,85.017,spotify:track:5iJePbYGvnp583umPcXfBW,Ainda,Epifania,happy
0.405,0.728,-4.76,0.0433,0.415,0,0.342,188.701,spotify:track:1gStng1TuTLt0SaISWL14r,Smaller,Erik Hassle,happy
0.728,0.642,-8.593,0.0743,0.572,0.845,0.838,89.977,spotify:track:7CFOFPykUPagxBUwa7D0AQ,Arraial Da Ajuda,Estelas,happy
0.516,0.805,-8.017,0.0311,0.000178,0.00135,0.72,136.67,spotify:track:6i9uagZQiliNoEW8Jp10dX,It's Love (but it's not mine),EUT,happy
0.783,0.626,-10.836,0.109,0.247,0.847,0.688,169.972,spotify:track:5Wubj5d5MvvWRBg8Zt47BC,Hang Loose,evans,happy
0.664,0.422,-11.874,0.195,0.265,0.904,0.356,84.831,spotify:track:3jPOhzt1Xy0lqq1iPm6nFJ,Bliss,Evil Needle,happy
0.76,0.452,-5.884,0.107,0.243,0.864,0.205,89.977,spotify:track:7AL8MZHzgxmnYsuiM2MsUZ,Boston City Hall,Ewert,happy
0.822,0.459,-5.009,0.073,0.287,0.822,0.521,90.028,spotify:track:58eukN93h5b7rBlbcR6owz,Trading Bikes,Ewert,happy
0.704,0.845,-9.516,0.0535,0.0383,2.03E-05,0.623,94.52,spotify:track:3VuPTxBQqGGuXH0u0ic14D,Restless Year,Ezra Furman,happy
0.55,0.473,-11.806,0.0522,0.664,0.872,0.242,85.081,spotify:track:2mRYo91e0IZu9HPPAIxVAq,Donde Estas?,Fallen Roses,happy
0.683,0.402,-8.706,0.114,0.163,0.882,0.891,80.028,spotify:track:18u4WwiGLzWT8xpLmUAHN7,ipanema,farewell,happy
0.597,0.812,-12.062,0.0315,0.0219,0.00106,0.823,135.68,spotify:track:0FeCO85RKW8fDRytwXof2x,Go Your Own Way,Fleetwood Mac,happy
0.697,0.483,-6.563,0.0403,0.35,0.855,0.659,94,spotify:track:7sTB4R9y1hyAxxA2mixs3L,Summer Haze,Flimbo,happy
0.708,0.445,-10.654,0.0457,0.265,0.805,0.466,87.974,spotify:track:3gH6U0EQHbFrCNebvbnk8Y,Mount Rakko,FloFilz,happy
0.534,0.87,-4.428,0.075,0.00127,0,0.328,121.841,spotify:track:0vQYe6g8bNbdUKnUnXdQQV,My Love - Edit,Florence + The Machine,happy
0.527,0.804,-4.168,0.0358,0.0104,0,0.221,107.486,spotify:track:4lY95OMGb9WxP6IYut64ir,Shake It Out,Florence + The Machine,happy
0.669,0.479,-8.849,0.0442,0.672,0,0.679,143.159,spotify:track:1yN2z5XVtaAOYGdeEqEuqd,Lemon Tree,Fools Garden,happy
0.611,0.948,-3.751,0.0753,0.00183,0.0995,0.79,133.004,spotify:track:4HRa9ZWcmZ8JD7UySPu0wT,Don't Stop (Color on the Walls),Foster The People,happy
0.769,0.179,-14.319,0.15,0.389,0.93,0.379,176.243,spotify:track:29tQwha5pdWNZIbYAAo7AA,United We Belong,"Frankly, We Hold",happy
0.746,0.817,-4.158,0.119,0.175,0.791,0.926,169.993,spotify:track:64tYpY0PiNzSvdhGxQ7JnW,Bow Down Jazz,Franky A,happy
0.661,0.462,-16.157,0.0424,0.123,0.921,0.188,137.993,spotify:track:3SPpqRQdEQAywU8fRKrWqx,Vacation,franz.,happy
